urn:cts:greekLit:tlg0012.tlg001.msA:1.1	<l xmlns="http://www.tei-c.org/ns/1.0" n="1"> Μῆνιν ἄειδε θεὰ <persName n="urn:cite:hmt:pers.pers1"> Πηληϊάδεω Ἀχιλῆος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.35	<l xmlns="http://www.tei-c.org/ns/1.0" n="35"> <placeName n="urn:cite:hmt:place.place266"> Πήδασον</placeName> αἰπεινήν. <persName n="urn:cite:hmt:pers.pers715"> Φύλακον</persName> δ' ἕλε <persName n="urn:cite:hmt:pers.pers350"> Λήϊτος</persName> ἥρως</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.36	<l xmlns="http://www.tei-c.org/ns/1.0" n="36"> φεύγοντ'. <persName n="urn:cite:hmt:pers.pers244"> Εὐρύπυλος</persName> δὲ <persName n="urn:cite:hmt:pers.pers716"> Μελάνθιον</persName> ἐξεναρίξεν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.37	<l xmlns="http://www.tei-c.org/ns/1.0" n="37"> <persName n="urn:cite:hmt:pers.pers717"> Ἄδρηστον</persName> δ' <choice> <sic> ἂρ'</sic> <corr> ἄρ'</corr></choice> ἔπειτα βοὴν ἀγαθὸς <persName n="urn:cite:hmt:pers.pers119"> Μενέλαος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.44	<l xmlns="http://www.tei-c.org/ns/1.0" n="44"> <persName n="urn:cite:hmt:pers.pers119"> Ἀτρείδης Μενέλαος</persName> ἔχων δολιχόσκιον ἔγχος·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.45	<l xmlns="http://www.tei-c.org/ns/1.0" n="45"> <persName n="urn:cite:hmt:pers.pers717"> Ἄδρηστος</persName> δ' ὰρ ἔπειτα <choice> <sic> λαβῶν</sic> <corr> λαβὼν</corr></choice> ἐλίσσετο γούνων·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.46	<l xmlns="http://www.tei-c.org/ns/1.0" n="46"> ζώγρει <persName n="urn:cite:hmt:pers.pers23"> Ἀτρέος</persName> υἱὲ. σὺ δ' ἄξια δέξαι ἄποινα·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.53	<l xmlns="http://www.tei-c.org/ns/1.0" n="53"> δώσειν ὧ θεράποντι καταξέμεν. ἀλλ' <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.55	<l xmlns="http://www.tei-c.org/ns/1.0" n="55"> ὦ πέπον ὦ <persName n="urn:cite:hmt:pers.pers119"> Μενέλαε</persName> · τί ὴ δὲ σὺ κήδεαι οὕτως</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.63	<l xmlns="http://www.tei-c.org/ns/1.0" n="63"> ἥρω' <persName n="urn:cite:hmt:pers.pers717"> Ἄδρηστον</persName> . τὸν δὲ κρείων <persName n="urn:cite:hmt:pers.pers22"> Ἀγαμέμνων</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.64	<l xmlns="http://www.tei-c.org/ns/1.0" n="64"> οῦτα κατὰ λαπάρην. ὁ δ' ἀνετράπετ'. <persName n="urn:cite:hmt:pers.pers22"> Ἀτρείδης</persName> δὲ</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.66	<l xmlns="http://www.tei-c.org/ns/1.0" n="66"> <persName n="urn:cite:hmt:pers.pers117"> Νέστωρ</persName> δ' <rs n="urn:cite:hmt:place.place114" type="ethnic"> Ἀργείοισιν</rs> ἐκέκλετο μακρὸν ἀΰσας.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.67	<l xmlns="http://www.tei-c.org/ns/1.0" n="67"> ὦ φίλοι· ἥρωες· <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοὶ</rs> · θεράποντες <persName n="urn:cite:hmt:pers.pers83"> Ἄρηος</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.75	<l xmlns="http://www.tei-c.org/ns/1.0" n="75"> εἰ μὴ ὰρ <persName n="urn:cite:hmt:pers.pers142"> Αἰνείᾱͅ</persName> τε καὶ <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορι</persName> εἶπε παραστὰς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.76	<l xmlns="http://www.tei-c.org/ns/1.0" n="76"> <persName n="urn:cite:hmt:pers.pers507"> Πριαμ΄ίδης Ἕλενος</persName> οἰωνοπόλων ὄχ' ἄριστος·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.77	<l xmlns="http://www.tei-c.org/ns/1.0" n="77"> <persName n="urn:cite:hmt:pers.pers142"> Αἰνεία</persName> τὲ καὶ <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορ</persName> · ἐπεὶ πόνος ὕμμι μάλιστα</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.78	<l xmlns="http://www.tei-c.org/ns/1.0" n="78"> <placeName n="urn:cite:hmt:place.place6"> Τρώων</placeName> καὶ <persName n="urn:cite:hmt:place.place75"> Λυκίων</persName> ἐγκέκλιται. οὕνεκ' ἄριστοι</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.84	<l xmlns="http://www.tei-c.org/ns/1.0" n="84"> ἡμεῖς μὲν <rs n="urn:cite:hmt:pers.pers66" type="ethnic"> Δαναοῖσι</rs> μαχησόμεθ' αὖθι μένοντες</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.86	<l xmlns="http://www.tei-c.org/ns/1.0" n="86"> <persName n="urn:cite:hmt:pers.pers172"> Ἕκτορ</persName> · ἀτὰρ σὺ πόλιν δὲ μετέρχεο. εἰπὲ δ' ἔπειτα</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.88	<l xmlns="http://www.tei-c.org/ns/1.0" n="88"> νηὸν <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> γλαυκώπιδος. ἐν πόλει ἄκρῃ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.92	<l xmlns="http://www.tei-c.org/ns/1.0" n="92"> θεῖναι <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἐπὶ γούνασιν ἠϋκόμοιο·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.96	<l xmlns="http://www.tei-c.org/ns/1.0" n="96"> αἴ κεν <persName n="urn:cite:hmt:pers.pers251"> Τυδέος</persName> υἱὸν ἀπόσχῃ <placeName n="urn:cite:hmt:place.place6"> Ἰ̈λίου</placeName> ϊρῆς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.99	<l xmlns="http://www.tei-c.org/ns/1.0" n="99"> οὐδ' <persName n="urn:cite:hmt:pers.pers1"> Ἀχιλῆά</persName> ποθ' ὧδέ γ' ἐδείδιμεν ὄρχαμον ἀνδρῶν</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.102	<l xmlns="http://www.tei-c.org/ns/1.0" n="102"> ὡς ἔφαθ', <persName n="urn:cite:hmt:pers.pers172"> Ἕκτωρ</persName> δ' οὔ τι κασιγνήτῳ ἀπίθησεν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.110	<l xmlns="http://www.tei-c.org/ns/1.0" n="110"> <persName n="urn:cite:hmt:pers.pers172"> Ἕκτωρ</persName> δὲ <rs n="urn:cite:hmt:place.place6" type="ethnic"> Τρώεσσιν</rs> ἐκέκλετο μακρὸν ἀΰσας·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.116	<l xmlns="http://www.tei-c.org/ns/1.0" n="116"> ὡς ἄρα φωνήσας ἀπέβη κορυθαιόλος <persName n="urn:cite:hmt:pers.pers172"> Ἕκτωρ</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.119	<l xmlns="http://www.tei-c.org/ns/1.0" n="119"> <persName n="urn:cite:hmt:pers.pers463"> Γλαῦκος</persName> δ' <persName n="urn:cite:hmt:pers.pers648"> Ἱππολόχοιο</persName> πάϊς. καὶ <persName n="urn:cite:hmt:pers.pers251"> Τυδέος</persName> υἱὸς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.122	<l xmlns="http://www.tei-c.org/ns/1.0" n="122"> τὸν πρότερος προσέειπε βοὴν ἀγαθὸς <persName n="urn:cite:hmt:pers.pers215"> Διομήδης</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.130	<l xmlns="http://www.tei-c.org/ns/1.0" n="130"> οὐδε γὰρ οὐδε <persName n="urn:cite:hmt:pers.pers224"> Δρύαντος</persName> υἱὸς κρατερὸς <persName n="urn:cite:hmt:pers.pers718"> Λυκόοργος</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.132	<l xmlns="http://www.tei-c.org/ns/1.0" n="132"> ὅς ποτε μαινομένοιο <persName n="urn:cite:hmt:pers.pers59"> Διωνύσοιο</persName> τιθήνᾱς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.134	<l xmlns="http://www.tei-c.org/ns/1.0" n="134"> θύσθλα χαμαὶ κατέχευαν, ὑπ ἀνδροφόνοιο <persName n="urn:cite:hmt:pers.pers718"> Λυκούργου</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.135	<l xmlns="http://www.tei-c.org/ns/1.0" n="135"> θεινόμεναι βουπλῆγι· <persName n="urn:cite:hmt:pers.pers59"> Διώνυσος</persName> δὲ φοβηθεὶς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.136	<l xmlns="http://www.tei-c.org/ns/1.0" n="136"> δύσεθ' ἁλὸς κατα κῦμα· <persName n="urn:cite:hmt:pers.pers19"> Θέτις</persName> δ' ὑπεδέξατο κόλπῳ</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.139	<l xmlns="http://www.tei-c.org/ns/1.0" n="139"> καί μιν τυφλὸν ἔθηκε <persName n="urn:cite:hmt:pers.pers8"> Κρόνου</persName> παῖς· οὐδ' ὰρ ἔτι δὴν</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.144	<l xmlns="http://www.tei-c.org/ns/1.0" n="144"> τὸνδ' αῦθ' <persName n="urn:cite:hmt:pers.pers648"> Ἱππολόχοιο</persName> προσήυδα φαίδιμος υἱός·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.145	<l xmlns="http://www.tei-c.org/ns/1.0" n="145"> <persName n="urn:cite:hmt:pers.pers215"> Τυδείδη</persName> μεγάθυμε, τί ὴ γενεὴν ἐρεείνης·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.153	<l xmlns="http://www.tei-c.org/ns/1.0" n="153"> ἔνθα δὲ <persName n="urn:cite:hmt:pers.pers133"> Σίσυφος</persName> ἔσκεν. ὃ κέρδιστος γένετ' ἀνδρῶν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.154	<l xmlns="http://www.tei-c.org/ns/1.0" n="154"> <persName n="urn:cite:hmt:pers.pers133"> Σίσυφος Αἰολίδης</persName> · ὁ δ' ἄρα <persName n="urn:cite:hmt:pers.pers719"> Γλαῦκον</persName> τέκεθ' υἱόν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.155	<l xmlns="http://www.tei-c.org/ns/1.0" n="155"> αὐτὰρ <persName n="urn:cite:hmt:pers.pers719"> Γλαῦκος</persName> ἔτικτεν ἀμύμονα <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντην</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.157	<l xmlns="http://www.tei-c.org/ns/1.0" n="157"> ὤπασαν· <choice> <sic> αὐτὰρ</sic> <corr> αὐτάρ</corr></choice> οἱ <persName n="urn:cite:hmt:pers.pers721"> Προῖτος</persName> κακ`' ἐμήσατο θυμῷ.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.159	<l xmlns="http://www.tei-c.org/ns/1.0" n="159"> <rs n="urn:cite:hmt:place.place96" type="ethnic"> Ἀργείων</rs> · <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> γάρ μιν ὑπο σκήπτρῳ ἐδάμασσε·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.160	<l xmlns="http://www.tei-c.org/ns/1.0" n="160"> τῷ δὲ γυνὴ <persName n="urn:cite:hmt:pers.pers721"> Προίτου</persName> ἐπεμήνατο δῖ' <persName n="urn:cite:hmt:pers.pers722"> Ἄντεια</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.162	<l xmlns="http://www.tei-c.org/ns/1.0" n="162"> πεῖθ' ἀγαθὰ φρονέοντα δαΐφρονα <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντην</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.163	<l xmlns="http://www.tei-c.org/ns/1.0" n="163"> ἡ δὲ ψευσαμένη, <persName n="urn:cite:hmt:pers.pers721"> Προῖτον</persName> βασιλῆα προσήυδα·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.164	<l xmlns="http://www.tei-c.org/ns/1.0" n="164"> τεθναίης ὦ <persName n="urn:cite:hmt:pers.pers721"> Προῖτ'</persName> , ἢ κάκτανε <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντην</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.175	<l xmlns="http://www.tei-c.org/ns/1.0" n="175"> ἀλλ' ὅτε δὴ δεκάτη φάνη ῥοδοδάκτυλος <persName n="urn:cite:hmt:pers.pers286"> Ἠὼς</persName> .</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.177	<l xmlns="http://www.tei-c.org/ns/1.0" n="177"> ὅττι ῥά οι γαμβροῖο παρὰ <persName n="urn:cite:hmt:pers.pers721"> Προίτοιο</persName> φέροιτο·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.184	<l xmlns="http://www.tei-c.org/ns/1.0" n="184"> δεύτερον αὖ <rs n="urn:cite:hmt:pers.pers723" type="ethnic"> Σολύμοισι</rs> μαχέσατο κυδαλίμοισι·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.190	<l xmlns="http://www.tei-c.org/ns/1.0" n="190"> πάντας γὰρ κατέπεφνεν ἀμύμων <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντης</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.196	<l xmlns="http://www.tei-c.org/ns/1.0" n="196"> ἡ δ' ἔτεκεν τρία τέκνα δαΐφρονι <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντῃ</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.197	<l xmlns="http://www.tei-c.org/ns/1.0" n="197"> ῎ <persName n="urn:cite:hmt:pers.pers724"> Ἴ̈σανδρόν</persName> τε. καὶ <persName n="urn:cite:hmt:pers.pers648"> Ἱ̈ππόλοχον</persName> , καὶ <persName n="urn:cite:hmt:pers.pers725"> Λαοδάμειαν</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.198	<l xmlns="http://www.tei-c.org/ns/1.0" n="198"> <persName n="urn:cite:hmt:pers.pers725"> Λαοδαμείῃ</persName> μὲν παρελέξατο μητίετα <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> .</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.199	<l xmlns="http://www.tei-c.org/ns/1.0" n="199"> ἡ δ`' ἔτεκ' ἀντίθεον <persName n="urn:cite:hmt:pers.pers195"> Σαρπηδόνα</persName> . χαλκοκορυστήν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.203	<l xmlns="http://www.tei-c.org/ns/1.0" n="203"> <persName n="urn:cite:hmt:pers.pers724"> Ἴ̈σανδρον</persName> δέ οἱ υἱὸν, <persName n="urn:cite:hmt:pers.pers83"> Ἄρης</persName> ἆτος πολέμοιο</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.204	<l xmlns="http://www.tei-c.org/ns/1.0" n="204"> μαρνάμενον <rs n="urn:cite:hmt:pers.pers723" type="ethnic"> Σολύμοισι</rs> κατέκτανε κυδαλίμοισι·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.205	<l xmlns="http://www.tei-c.org/ns/1.0" n="205"> τὴν δὲ χολωσαμένη χρυσήνιος <persName n="urn:cite:hmt:pers.pers39"> Ἄρτεμις</persName> ἔκτα·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.206	<l xmlns="http://www.tei-c.org/ns/1.0" n="206"> <persName n="urn:cite:hmt:pers.pers648"> Ἱππόλοχος</persName> <choice> <sic> δέ</sic> <corr> δὲ</corr></choice> μ' ἔτικτε· καὶ ἐκ τοῦ φημὶ γενέσθαι.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.212	<l xmlns="http://www.tei-c.org/ns/1.0" n="212"> ὡς φάτο· γήθησεν δὲ βοὴν ἀγαθὸς <persName n="urn:cite:hmt:pers.pers215"> Διομήδης</persName> · </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.216	<l xmlns="http://www.tei-c.org/ns/1.0" n="216"> <persName n="urn:cite:hmt:pers.pers327"> Οἰνεύς</persName> γάρ ποτε δῖος. ἀμύμονα <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντην</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.219	<l xmlns="http://www.tei-c.org/ns/1.0" n="219"> <persName n="urn:cite:hmt:pers.pers327"> Οἰνεὺς</persName> μὲν, ζωστῆρα δίδου. φοίνικι φαεινὸν. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.220	<l xmlns="http://www.tei-c.org/ns/1.0" n="220"> <persName n="urn:cite:hmt:pers.pers720"> Βελλεροφόντης</persName> δὲ, χρύσεον δέπας, ἀμφικύπελλον. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.222	<l xmlns="http://www.tei-c.org/ns/1.0" n="222"> <persName n="urn:cite:hmt:pers.pers251"> Τυδέα</persName> δ' οὐ μέμνημαι. ἐπεί μ' ἔτι τυτθὸν ἐόντα</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.234	<l xmlns="http://www.tei-c.org/ns/1.0" n="234"> ἔνθ' αῦτε <persName n="urn:cite:hmt:pers.pers463"> Γλαύκῳ</persName> <persName n="urn:cite:hmt:pers.pers8"> Κρονίδης</persName> φρένας ἐξέλετο <persName n="urn:cite:hmt:pers.pers8"> Ζεὺς</persName> .</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.235	<l xmlns="http://www.tei-c.org/ns/1.0" n="235"> ὃς προς <persName n="urn:cite:hmt:pers.pers215"> Τυδειδην Διομήδεα</persName> τεύχε' ἄμειβε</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.237	<l xmlns="http://www.tei-c.org/ns/1.0" n="237"> <persName n="urn:cite:hmt:pers.pers172"> Ἕκτωρ</persName> δ' ὡς Σκαιάς τε πύλας καὶ πύργον ἵκανεν.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.242	<l xmlns="http://www.tei-c.org/ns/1.0" n="242"> Ἀλλ' ὅτε δὴ <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> δόμον περικαλλέ' ΐκανε</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.246	<l xmlns="http://www.tei-c.org/ns/1.0" n="246"> κοιμῶντο <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> , παρὰ μνηστῇς ἀλόχοισι·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.250	<l xmlns="http://www.tei-c.org/ns/1.0" n="250"> κοιμῶντο <persName n="urn:cite:hmt:pers.pers145"> Πριάμοιο</persName> , παρ' αἰδοίῃς ἀλόχοισιν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.252	<l xmlns="http://www.tei-c.org/ns/1.0" n="252"> <persName n="urn:cite:hmt:pers.pers687"> Λαοδίκην</persName> ἐσάγουσα θυγατρῶν εἶδος ἀρίστην·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.257	<l xmlns="http://www.tei-c.org/ns/1.0" n="257"> ἐλθόντ', ἐξ ἄκρης πόλιος <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> χεῖρας ἀνασχεῖν·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.259	<l xmlns="http://www.tei-c.org/ns/1.0" n="259"> ὡς σπείσῃς <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> πατρὶ καὶ ἄλλοις ἀθανάτοισι</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.263	<l xmlns="http://www.tei-c.org/ns/1.0" n="263"> τὴν δ`' ἠμείβετ' ἔπειτα μέγας κορυθαιόλος <persName n="urn:cite:hmt:pers.pers172"> Ἕκτωρ</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.266	<l xmlns="http://www.tei-c.org/ns/1.0" n="266"> χερσὶ δ' ἀνίπτοισιν <persName n="urn:cite:hmt:pers.pers8"> Διῒ</persName> λείβειν αἴθοπα οἶνον</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.267	<l xmlns="http://www.tei-c.org/ns/1.0" n="267"> ἅζομαι· οὐδέ πῃ ἐστὶ κελαινεφέϊ <persName n="urn:cite:hmt:pers.pers8"> Κρονίωνι</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.269	<l xmlns="http://www.tei-c.org/ns/1.0" n="269"> ἀλλὰ σύ γε προς νηὸν <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἀγελείης</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.273	<l xmlns="http://www.tei-c.org/ns/1.0" n="273"> τὸν θὲς <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἐπι γούνασιν ἠϋκόμοιο.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.277	<l xmlns="http://www.tei-c.org/ns/1.0" n="277"> αἴ κεν <persName n="urn:cite:hmt:pers.pers251"> Τυδέος</persName> υἱὸν ἀπόσχῃ <placeName n="urn:cite:hmt:place.place6"> Ἰ̈λίου</placeName> ϊρῆς</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.279	<l xmlns="http://www.tei-c.org/ns/1.0" n="279"> ἀλλὰ σὺ μὲν πρὸς νηὸν <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἀγελείης</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.280	<l xmlns="http://www.tei-c.org/ns/1.0" n="280"> ἔρχευ· ἐγὼ δὲ <persName n="urn:cite:hmt:pers.pers129"> Πάριν</persName> μετελεύσομαι· ὄφρα καλέσσω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.282	<l xmlns="http://www.tei-c.org/ns/1.0" n="282"> γαῖα χάνοι· μέγα γάρ μιν <persName n="urn:cite:hmt:pers.pers8"> Ὀλύμπιος</persName> ἔτρεφε πῆμα </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.283	<l xmlns="http://www.tei-c.org/ns/1.0" n="283"> <rs n="urn:cite:hmt:place.place6" type="ethnic"> Τρωσί</rs> τε. καὶ <persName n="urn:cite:hmt:pers.pers145"> Πριάμῳ</persName> μεγαλήτορι. τοῖό τε παισίν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.284	<l xmlns="http://www.tei-c.org/ns/1.0" n="284"> εἰ κεῖνόν γε ΐδοιμι κατελθόντ' <persName n="urn:cite:hmt:pers.pers201"> Ἄϊδος</persName> εἴσω· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.290	<l xmlns="http://www.tei-c.org/ns/1.0" n="290"> <rs n="urn:cite:hmt:place.place71" type="ethnic"> Σιδονίων</rs> · τὰς αὐτὸς <persName n="urn:cite:hmt:pers.pers129"> Ἀλέξανδρος</persName> θεοειδὴς </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.292	<l xmlns="http://www.tei-c.org/ns/1.0" n="292"> τὴν ὁδὸν. ἣν <persName n="urn:cite:hmt:pers.pers94"> Ἑλένην</persName> περ ἀνήγαγεν εὐπατέρειαν· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.293	<l xmlns="http://www.tei-c.org/ns/1.0" n="293"> τῶν ἕν' ἀειραμένη <persName n="urn:cite:hmt:pers.pers535"> Ἑκάβη</persName> . φέρε δῶρον <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνη</persName></l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.297	<l xmlns="http://www.tei-c.org/ns/1.0" n="297"> αἱ δ`' ὅτε νηὸν ΐκανον <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνης</persName> ἐν πόλει ἄκρῃ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.298	<l xmlns="http://www.tei-c.org/ns/1.0" n="298"> τῇσι θύρας ώϊξε <persName n="urn:cite:hmt:pers.pers676"> Θεανὼ</persName> καλλιπάρηος.</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.299	<l xmlns="http://www.tei-c.org/ns/1.0" n="299"> <persName n="urn:cite:hmt:pers.pers498"> Κισσηῒς</persName> · ἄλοχος <persName n="urn:cite:hmt:pers.pers509"> Ἀντήνορος</persName> ἱπποδάμοιο· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.300	<l xmlns="http://www.tei-c.org/ns/1.0" n="300"> τὴν γὰρ <rs n="urn:cite:hmt:place.place6" type="ethnic"> Τρῶες</rs> ἔθηκαν <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἱ̈έρειαν. </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.301	<l xmlns="http://www.tei-c.org/ns/1.0" n="301"> αἱ δ`' ὀλολυγῇ πᾶσαι <persName n="urn:cite:hmt:pers.pers67"> Ἀθήνῃ</persName> χεῖρας ἀνέσχον· </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.302	<l xmlns="http://www.tei-c.org/ns/1.0" n="302"> ἡ δ' ἄρα πέπλον ἑλοῦσα <persName type="urn:cite:hmt:pers.pers676"> Θεανὼ</persName> καλλιπάρηος, </l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.303	<l xmlns="http://www.tei-c.org/ns/1.0" n="303"> θῆκεν <persName type="urn:cite:hmt:pers.pers67"> Ἀθηναίης</persName> ἐπὶ γούνασιν ἠϋκόμοιο·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.304	<l xmlns="http://www.tei-c.org/ns/1.0" n="304"> εὐχομένη δ' ἠρᾶτο <persName type="urn:cite:hmt:pers.pers8"> Διὸς</persName> κούρη μεγάλοιο·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.305	<l xmlns="http://www.tei-c.org/ns/1.0" n="305"> πότνι' <persName n="urn:cite:hmt:pers.pers67"> Ἀθηναίη</persName> · ἐρυσίπτολι· δῖα θεάων·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.306	<l xmlns="http://www.tei-c.org/ns/1.0" n="306"> ἆξον δὴ ἔγχος <persName n="urn:cite:hmt:pers.pers215"> Διομήδεος</persName> . ἠδὲ καὶ αὐτὸν</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.311	<l xmlns="http://www.tei-c.org/ns/1.0" n="311"> ὡς ἔφατ' εὐχομένη· ἀνένευε δὲ <persName n="urn:cite:hmt:pers.pers67"> Παλλὰς Ἀθήνη</persName> ·</l>
urn:cts:greekLit:tlg0012.tlg001.msA:6.312	<l xmlns="http://www.tei-c.org/ns/1.0" n="312"> ὡς αἱ μέν ρ' εὔχοντο <persName n="urn:cite:hmt:pers.pers8"> Διὸς</persName> κούρῃ μεγάλοιο·</l>
